PlayerID,Player,Team,Position,Cost,Selection,Form,Points,Goals,Assists,Minutes,ICT Index,Bonus,Clean Sheets,Dream Team,Goals Conceded,PPG,Saves,Yellow
MartínezARSGKP,Martínez,ARS,GKP,4.5,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
MustafiARSDEF,Mustafi,ARS,DEF,5.4,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
BellerínARSDEF,Bellerín,ARS,DEF,5.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
KoscielnyARSDEF,Koscielny,ARS,DEF,5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
MavropanosARSDEF,Mavropanos,ARS,DEF,4.4,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
JenkinsonARSDEF,Jenkinson,ARS,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HoldingARSDEF,Holding,ARS,DEF,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
TierneyARSDEF,Tierney,ARS,DEF,5.5,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0
ÖzilARSMID,Özil,ARS,MID,7.4,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0
ElnenyARSMID,Elneny,ARS,MID,4.5,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
NketiahARSFWD,Nketiah,ARS,FWD,4.5,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0
NylandAVLGKP,Nyland,AVL,GKP,4.5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
SteerAVLGKP,Steer,AVL,GKP,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
KalinicAVLGKP,Kalinic,AVL,GKP,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
ChesterAVLDEF,Chester,AVL,DEF,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
HauseAVLDEF,Hause,AVL,DEF,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
TargettAVLDEF,Targett,AVL,DEF,4.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
KonsaAVLDEF,Konsa,AVL,DEF,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
GuilbertAVLDEF,Guilbert,AVL,DEF,4.5,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0
GreenAVLMID,Green,AVL,MID,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BjarnasonAVLMID,Bjarnason,AVL,MID,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
LansburyAVLMID,Lansbury,AVL,MID,4.5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
NakambaAVLMID,Nakamba,AVL,MID,4.5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
BegovicBOUGKP,Begovic,BOU,GKP,4.5,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0
HolgateEVEDEF,Holgate,EVE,DEF,4.5,0.002,0.5,1,0,0,17,0.8,0,0,0,0,1,0,0
WalcottEVEMID,Walcott,EVE,MID,6.4,0.007,0.5,1,0,0,27,0.3,0,0,0,0,1,0,0
DaviesEVEMID,Davies,EVE,MID,5.5,0.002,0.5,1,0,0,11,0.2,0,0,0,0,1,0,0
