Player,Team,Cost,Selected,Form,Points,PPG,Mins Played,Goals Scored,Own Goals,Assists,Pen Missed,Yellow,Red,Bonus,Influence,Creativity,Threat,ICT Index,Dream Team,Season VL,Form VL
Fuchs,LEI,4.1,0.004,0,3,1,206,0,0,0,,0,0,38,50.4,85.6,14,14.9,0,0.7,0
Britos,WAT,4.3,0,0,3,1,184,0,0,0,,0,0,22,28.4,0.3,0,2.9,0,0.7,0
Jazz Richards,CAR,3.9,0.005,0.5,2,0.5,129,0,0,0,,0,0,15,14.8,1.6,0,1.8,0,0.5,0.1
Cahill,CHE,5,0.005,0.5,2,1,22,0,0,0,,0,0,6,4.8,0,0,0.5,0,0.4,0.1
Rojo,MUN,4.9,0.001,0,2,0.4,209,0,1,0,,2,0,15,42.2,3.1,63,10.9,0,0.4,0
Navarro,WAT,4.2,0,0,2,1,84,0,0,0,,0,0,12,16,5.3,2,2.3,0,0.5,0
Johnson,WHU,4,0,0,2,2,62,0,0,0,,0,0,6,7.8,0.4,0,0.8,0,0.5,0
Souaré,CRY,4.2,0.001,0,1,1,1,0,0,0,,0,0,3,1,0.1,0,0.1,0,0.2,0
Duhaney,HUD,4,0,0,1,1,45,0,0,0,,0,0,1,3.8,1.6,0,0.5,0,0.3,0
Barreca,NEW,4.1,0,0,1,1,4,0,0,0,,0,0,3,0.2,0,0,0,0,0.2,0
Ramsay,SOU,4,0,0,1,1,90,0,0,0,,0,0,9,11.2,0,0,1.1,0,0.3,0
Prödl,WAT,4.2,0.001,0,1,1,13,0,0,0,,0,0,2,0,0,0,0,0,0.2,0
Kilman,WOL,4,0,0.5,1,1,1,0,0,0,,0,0,3,0,0,0,0,0,0.3,0.1
Medley,ARS,4,0.001,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Suttner,BHA,3.8,0.043,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Schelotto,BHA,3.8,0.019,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Burn,BHA,4.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Driscoll-Glennon,BUR,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Connolly,CAR,3.8,0.028,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Guehi,CHE,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Riedewald,CRY,4.3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Woods,CRY,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Tavares,CRY,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Steven Sessegnon,FUL,4,0.001,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Sandler,MCI,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Cass,NEW,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Jones,SOU,4,0,0,0,2.4,1261,0,0,1,,1,0,273,300.8,44.8,42,39,1,8.4,0.2
Eyoma,TOT,4,0.001,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Reid,WHU,4.4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
John,WOL,4,0.001,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
